2024/06/17 09:13:57.660 => OpenSerial: Com=9 BaudRate=256000, Success=1
2024/06/17 09:13:57.667 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:13:57.667 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:13:57.820 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:13:57.820 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:13:57.826 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/17 09:13:57.826 => GetVersion Return: v1.4.4_32772.0
2024/06/17 09:14:02.570 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:14:02.570 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:14:02.731 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:14:02.731 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:14:03.281 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/17 09:14:03.287 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/17 09:14:03.298 => thread create success, thread handle=0x00000638, id=10984, name=ABDData
2024/06/17 09:14:03.298 => thread information, name=ABDData, tid=10984(0x00002ae8)
2024/06/17 09:14:11.343 => State=2, M_D=069, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.442 => State=1, M_D=066, M_S=076, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.543 => State=2, M_D=066, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.643 => State=1, M_D=065, M_S=068, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.742 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.843 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:11.943 => State=1, M_D=061, M_S=063, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.043 => State=2, M_D=061, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.143 => State=1, M_D=048, M_S=075, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.243 => State=2, M_D=048, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.343 => State=1, M_D=053, M_S=076, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.443 => State=2, M_D=053, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.543 => State=1, M_D=065, M_S=072, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.643 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.743 => State=1, M_D=063, M_S=063, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.843 => State=2, M_D=063, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:12.943 => State=2, M_D=063, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.043 => State=1, M_D=066, M_S=070, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.143 => State=2, M_D=066, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.243 => State=1, M_D=049, M_S=071, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.342 => State=2, M_D=049, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.443 => State=1, M_D=062, M_S=067, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.542 => State=2, M_D=062, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.643 => State=1, M_D=043, M_S=062, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.842 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:13.942 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.043 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.143 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.243 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.442 => State=1, M_D=067, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.543 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.642 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.743 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.843 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:14.943 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.042 => State=1, M_D=030, M_S=092, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.142 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.243 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.342 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.442 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.542 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.643 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.743 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.843 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:15.943 => State=1, M_D=030, M_S=068, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.042 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.143 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.242 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.343 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.442 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.543 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.642 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.743 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.842 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:16.943 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.042 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.142 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.243 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.342 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.442 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.543 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.643 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.742 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.843 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:17.943 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.042 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.143 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.243 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.343 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.442 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.543 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.643 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.742 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.842 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:18.942 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.043 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.142 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.243 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.343 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.442 => State=1, M_D=030, M_S=091, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.543 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.642 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.842 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:19.943 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.042 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.143 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.242 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.443 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.543 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.643 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.843 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:20.943 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.042 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.142 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.243 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.442 => State=1, M_D=049, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.542 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.642 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.842 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:21.943 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.042 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.142 => State=1, M_D=067, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.242 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.442 => State=1, M_D=059, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.542 => State=1, M_D=061, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.642 => State=1, M_D=067, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.842 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:22.942 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.042 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.142 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.242 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.443 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.542 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.643 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.843 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:23.942 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.042 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.142 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.242 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.342 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.442 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.543 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.643 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.742 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:24.842 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
