2024/06/11 13:02:31.527 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/11 13:02:31.534 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.534 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.685 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.685 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.694 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/11 13:02:31.694 => GetVersion Return: v1.4.4_32772.0
2024/06/11 13:02:32.547 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.547 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:32.706 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.706 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:33.245 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/11 13:02:33.251 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/11 13:02:33.261 => thread create success, thread handle=0x00000624, id=18044, name=ABDData
2024/06/11 13:02:33.262 => thread information, name=ABDData, tid=18044(0x0000467c)
2024/06/11 13:02:47.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:47.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:48.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.391 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:49.991 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.391 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:50.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:51.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:52.991 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:53.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
